Date,Open,High,Low,Close,Adj Close,Volume
2021-09-13,3482.800049,3497.959961,3438.000000,3457.169922,3457.169922,2569000
2021-09-14,3475.550049,3486.810059,3437.709961,3450.000000,3450.000000,1936900
2021-09-15,3442.520020,3485.419922,3402.010010,3475.790039,3475.790039,2957500
2021-09-16,3459.959961,3492.550049,3446.139893,3488.239990,3488.239990,2583600
2021-09-17,3488.409912,3497.409912,3452.129883,3462.520020,3462.520020,4616600
2021-09-20,3396.000000,3419.000000,3305.010010,3355.729980,3355.729980,4669100
2021-09-21,3375.000000,3379.699951,3332.389893,3343.629883,3343.629883,2780900
2021-09-22,3351.000000,3389.000000,3341.050049,3380.050049,3380.050049,2411400
2021-09-23,3380.050049,3428.959961,3380.050049,3416.000000,3416.000000,2379400
2021-09-24,3402.010010,3429.260010,3393.399902,3425.520020,3425.520020,2116200
2021-09-27,3371.500000,3415.570068,3339.610107,3405.800049,3405.800049,3634500
2021-09-28,3357.709961,3369.189941,3290.100098,3315.959961,3315.959961,4430800
2021-09-29,3322.110107,3351.300049,3297.870117,3301.120117,3301.120117,2562300
2021-09-30,3316.000000,3327.850098,3273.989990,3285.040039,3285.040039,2842400
2021-10-01,3289.010010,3309.169922,3255.939941,3283.260010,3283.260010,2835600
2021-10-04,3279.389893,3279.989990,3176.250000,3189.780029,3189.780029,4523100
2021-10-05,3204.500000,3260.729980,3202.459961,3221.000000,3221.000000,3269200
2021-10-06,3213.530029,3264.340088,3198.620117,3262.010010,3262.010010,2533000
2021-10-07,3291.540039,3325.750000,3283.060059,3302.429932,3302.429932,2409100
2021-10-08,3317.000000,3321.429932,3288.199951,3288.620117,3288.620117,1995500
2021-10-11,3275.000000,3292.590088,3238.100098,3246.300049,3246.300049,2034200
2021-10-12,3257.000000,3267.530029,3236.280029,3247.330078,3247.330078,1819600
2021-10-13,3269.709961,3288.379883,3261.090088,3284.280029,3284.280029,2420100
2021-10-14,3302.449951,3312.600098,3290.780029,3299.860107,3299.860107,2109500
2021-10-15,3311.419922,3410.419922,3304.000000,3409.020020,3409.020020,5175100
2021-10-18,3388.360107,3449.169922,3385.100098,3446.739990,3446.739990,3174100
2021-10-19,3434.290039,3454.689941,3422.000000,3444.149902,3444.149902,2386100
2021-10-20,3452.659912,3462.860107,3400.370117,3415.060059,3415.060059,2139800
2021-10-21,3414.250000,3440.280029,3403.000000,3435.010010,3435.010010,1881400
2021-10-22,3421.000000,3429.840088,3331.300049,3335.550049,3335.550049,3139100
2021-10-25,3335.000000,3347.800049,3297.699951,3320.370117,3320.370117,2226000
2021-10-26,3349.510010,3416.120117,3343.979980,3376.070068,3376.070068,2698300
2021-10-27,3388.000000,3437.000000,3371.449951,3392.489990,3392.489990,2702200
2021-10-28,3402.100098,3479.000000,3386.000000,3446.570068,3446.570068,5708700
2021-10-29,3300.020020,3374.820068,3273.320068,3372.429932,3372.429932,6469500
2021-11-01,3361.800049,3375.860107,3292.020020,3318.110107,3318.110107,3608900
2021-11-02,3315.010010,3331.120117,3283.550049,3312.750000,3312.750000,2627600
2021-11-03,3309.000000,3394.919922,3297.520020,3384.000000,3384.000000,3397200
2021-11-04,3370.000000,3498.629883,3365.000000,3477.000000,3477.000000,5353000
2021-11-05,3477.000000,3566.250000,3476.979980,3518.989990,3518.989990,4993500
2021-11-08,3523.239990,3579.000000,3487.860107,3488.979980,3488.979980,3074000
2021-11-09,3515.250000,3593.770020,3501.429932,3576.229980,3576.229980,4294900
2021-11-10,3563.870117,3605.449951,3463.090088,3482.050049,3482.050049,4027400
2021-11-11,3513.000000,3543.239990,3467.469971,3472.500000,3472.500000,2264400
2021-11-12,3485.000000,3540.729980,3447.050049,3525.149902,3525.149902,2688500
2021-11-15,3537.000000,3593.879883,3525.810059,3545.679932,3545.679932,2929700
2021-11-16,3539.000000,3576.500000,3525.149902,3540.699951,3540.699951,2217100
2021-11-17,3564.719971,3587.250000,3545.350098,3549.000000,3549.000000,2560300
2021-11-18,3566.350098,3704.199951,3561.000000,3696.060059,3696.060059,5703500
2021-11-19,3712.689941,3762.149902,3675.719971,3676.570068,3676.570068,4936700
2021-11-22,3676.379883,3713.459961,3567.500000,3572.570068,3572.570068,4842200
2021-11-23,3585.040039,3621.050049,3527.709961,3580.040039,3580.040039,3690200
2021-11-24,3562.669922,3613.639893,3536.850098,3580.409912,3580.409912,2328000
2021-11-26,3602.100098,3633.500000,3504.149902,3504.560059,3504.560059,2991300
2021-11-29,3547.639893,3596.000000,3531.500000,3561.570068,3561.570068,3265600
2021-11-30,3563.500000,3585.770020,3492.010010,3507.070068,3507.070068,4001100
2021-12-01,3545.000000,3559.879883,3441.600098,3443.719971,3443.719971,3745800
2021-12-02,3460.000000,3492.699951,3423.750000,3437.360107,3437.360107,3236300
2021-12-03,3455.000000,3469.870117,3338.600098,3389.790039,3389.790039,4032600
2021-12-06,3393.000000,3473.909912,3338.689941,3427.370117,3427.370117,3443000
2021-12-07,3492.000000,3549.989990,3466.689941,3523.290039,3523.290039,3320500
2021-12-08,3523.010010,3543.600098,3495.010010,3523.159912,3523.159912,2262700
2021-12-09,3515.000000,3539.389893,3482.790039,3483.419922,3483.419922,2303100
2021-12-10,3508.340088,3518.540039,3410.000000,3444.239990,3444.239990,3031400
2021-12-13,3440.000000,3442.000000,3382.600098,3391.350098,3391.350098,3108500
2021-12-14,3351.000000,3389.979980,3328.800049,3381.830078,3381.830078,2798800
2021-12-15,3371.959961,3472.000000,3303.899902,3466.300049,3466.300049,3789700
2021-12-16,3467.370117,3483.320068,3363.209961,3377.419922,3377.419922,3043800
2021-12-17,3354.209961,3417.969971,3312.270020,3400.350098,3400.350098,4277100
2021-12-20,3337.000000,3357.489990,3312.000000,3341.580078,3341.580078,2868600
2021-12-21,3357.010010,3414.330078,3312.949951,3408.340088,3408.340088,2797800
2021-12-22,3385.399902,3441.000000,3370.010010,3420.739990,3420.739990,2751800
2021-12-23,3408.560059,3439.500000,3403.000000,3421.370117,3421.370117,1839400
2021-12-27,3420.739990,3458.860107,3384.310059,3393.389893,3393.389893,2934400
2021-12-28,3403.649902,3443.520020,3382.709961,3413.219971,3413.219971,2731900
2021-12-29,3416.800049,3424.239990,3372.010010,3384.020020,3384.020020,1787700
2021-12-30,3394.000000,3417.760010,3370.479980,3372.889893,3372.889893,1879200
2021-12-31,3379.120117,3387.000000,3331.169922,3334.340088,3334.340088,2391500
2022-01-03,3351.000000,3414.070068,3323.209961,3408.090088,3408.090088,3176000
2022-01-04,3408.760010,3428.000000,3326.989990,3350.439941,3350.439941,3536300
2022-01-05,3337.659912,3342.530029,3287.139893,3287.139893,3287.139893,3215100
2022-01-06,3269.010010,3296.000000,3238.739990,3265.080078,3265.080078,2597900
2022-01-07,3276.780029,3304.870117,3240.620117,3251.080078,3251.080078,2329300
2022-01-10,3211.709961,3233.229980,3126.090088,3229.719971,3229.719971,4389900
2022-01-11,3230.000000,3327.000000,3214.030029,3307.239990,3307.239990,3140300
2022-01-12,3331.500000,3337.560059,3288.340088,3304.139893,3304.139893,2501500
2022-01-13,3305.010010,3324.429932,3221.820068,3224.280029,3224.280029,2609400
2022-01-14,3203.000000,3245.000000,3196.010010,3242.760010,3242.760010,2295800
2022-01-18,3182.100098,3194.689941,3153.290039,3178.350098,3178.350098,3364600
2022-01-19,3175.239990,3185.000000,3125.000000,3125.979980,3125.979980,2662100
2022-01-20,3135.320068,3160.000000,3027.020020,3033.350098,3033.350098,3598700
2022-01-21,2999.000000,3018.000000,2841.409912,2852.860107,2852.860107,8198600
2022-01-24,2780.000000,2898.899902,2707.040039,2890.879883,2890.879883,7781200
2022-01-25,2844.850098,2872.000000,2762.899902,2799.719971,2799.719971,4541200
2022-01-26,2895.000000,2903.699951,2746.370117,2777.449951,2777.449951,4780100
2022-01-27,2816.000000,2884.870117,2787.000000,2792.750000,2792.750000,3875800
2022-01-28,2817.209961,2879.959961,2758.590088,2879.560059,2879.560059,3719600
2022-01-31,2895.000000,3007.209961,2886.010010,2991.469971,2991.469971,3915400
2022-02-01,3000.000000,3034.159912,2952.550049,3023.870117,3023.870117,2961000
2022-02-02,3101.010010,3101.500000,2977.270020,3012.250000,3012.250000,4366500
2022-02-03,2834.750000,2884.949951,2766.659912,2776.909912,2776.909912,11276600
2022-02-04,3112.129883,3224.000000,3012.159912,3152.790039,3152.790039,12640500
2022-02-07,3170.399902,3253.820068,3145.000000,3158.709961,3158.709961,5131200
2022-02-08,3135.010010,3235.850098,3111.010010,3228.270020,3228.270020,3802000
2022-02-09,3257.469971,3276.689941,3205.000000,3223.790039,3223.790039,3420100
